"B","observations","genes","abs_batch","k","method","WCSS"
1,10000,5000,10,15,mbkmeans,497233991.530615
2,10000,5000,10,15,mbkmeans,668928365.700002
3,10000,5000,10,15,mbkmeans,441697398.285718
4,10000,5000,10,15,mbkmeans,368321152.041667
5,10000,5000,10,15,mbkmeans,482151068.875
1,10000,5000,35,15,mbkmeans,328915746.664957
2,10000,5000,35,15,mbkmeans,326029945.113928
3,10000,5000,35,15,mbkmeans,380598598.527883
4,10000,5000,35,15,mbkmeans,484879387.011636
5,10000,5000,35,15,mbkmeans,341722166.652264
1,10000,5000,75,15,mbkmeans,286163977.361766
2,10000,5000,75,15,mbkmeans,338364575.506279
3,10000,5000,75,15,mbkmeans,415525833.703995
4,10000,5000,75,15,mbkmeans,353845538.630309
5,10000,5000,75,15,mbkmeans,342015256.423169
1,10000,5000,150,15,mbkmeans,326924688.237649
2,10000,5000,150,15,mbkmeans,289951073.145493
3,10000,5000,150,15,mbkmeans,278525172.009341
4,10000,5000,150,15,mbkmeans,284176299.563744
5,10000,5000,150,15,mbkmeans,359044958.064695
1,10000,5000,500,15,mbkmeans,299609095.669111
2,10000,5000,500,15,mbkmeans,334839218.61304
3,10000,5000,500,15,mbkmeans,311142497.607688
4,10000,5000,500,15,mbkmeans,264120555.228295
5,10000,5000,500,15,mbkmeans,332020771.630656
1,10000,5000,750,15,mbkmeans,262257089.016927
2,10000,5000,750,15,mbkmeans,249930273.203614
3,10000,5000,750,15,mbkmeans,251121076.906406
4,10000,5000,750,15,mbkmeans,265656994.182347
5,10000,5000,750,15,mbkmeans,339235279.297119
1,10000,5000,1000,15,mbkmeans,258443013.734297
2,10000,5000,1000,15,mbkmeans,242791559.388049
3,10000,5000,1000,15,mbkmeans,253664874.353921
4,10000,5000,1000,15,mbkmeans,252169493.068409
5,10000,5000,1000,15,mbkmeans,253472826.176092
