Algorithm,ncells,ngenes,batch,memory,elapsed_mean,elapsed_sd
k-means,75000,5000,NA,13.2711408428566,10.089080000000001,3.2465542699173415
k-means,150000,5000,NA,26.1804625925528,19.288945000000002,4.236047580558577
k-means,300000,5000,NA,51.995625173048,36.59606333333333,12.1578615411669
mbkmeans,75000,5000,500,3.31568918333198,0.6408866666666667,0.012287401457098297
mbkmeans,150000,5000,500,6.15633487732502,1.217675,0.019422349748500746
mbkmeans,300000,5000,500,11.9504529411513,2.3658416666666664,0.012552964949060585
mbkmeans,500000,5000,500,19.6530576454701,3.897753333333333,0.025792645137904673
mbkmeans,750000,5000,500,29.4001586801251,5.81477,0.02597121483489003
mbkmeans,1000000,5000,500,38.9425971316115,7.795757575757576,0.035724915335905
mbkmeans (HDF5),75000,5000,500,0.787876635659401,1.4812850000000002,0.03594206281823054
mbkmeans (HDF5),150000,5000,500,0.9171370807876089,1.4430433333333332,0.03400825988992584
mbkmeans (HDF5),300000,5000,500,0.98338144291468,2.9015633333333333,0.02584980215794584
mbkmeans (HDF5),500000,5000,500,1.2605703172502298,5.096935,0.2969190443819101
mbkmeans (HDF5),750000,5000,500,1.3650874151172299,8.17322,0.06091526638710842
mbkmeans (HDF5),1000000,5000,500,1.55775555243995,9.83355,0.03310405732098539
